id;Город дистрибьютора;Торг_точка_грязная;Торг_точка_грязная_адрес;outlet_clean_id;cluster_id;subcluster_id
1658;Ростов-на-Дону;ВАРЮХА И. В. ИП \Ковалева\;РО, пос.Мартыновка, ул. Ковалева, 106;;UqUI-W0IG-szvq-F1PF;b7q4-0oSr-vP08-7Him
1659;Ростов-на-Дону;ВАРЮХА И. В. ИП бонус \Зыгина\;-;;UqUI-W0IG-szvq-F1PF;r2RQ-gYnG-k55o-Wokg
1660;Ростов-на-Дону;ВАРЮХА И. В. ИП \Зыгина\;-;;UqUI-W0IG-szvq-F1PF;f9vY-xxER-fYXm-ICqe
1661;Ростов-на-Дону;ВАРЮХА И. В. ИП \Ковалева\;-;;UqUI-W0IG-szvq-F1PF;b7q4-0oSr-vP08-7Him
1662;Ростов-на-Дону;ВАСИЛЕВИЧ В. П. ИП/Рубин;РО, Константиновский р-н, х. Ведерников, ул. Южная, 5;;1GIK-MU3C-bK4q-PGwB;XSVE-CGhB-7Ruz-k9Im
1663;Ростов-на-Дону;ВАСИЛЕВИЧ В. П. ИП;-;;1GIK-MU3C-bK4q-PGwB;zgkO-FXkS-ng4a-d5tD
1664;Ростов-на-Дону;ВАСИЛЕВИЧ В. П. ИП/Рубин;-;;1GIK-MU3C-bK4q-PGwB;XSVE-CGhB-7Ruz-k9Im
1665;Ростов-на-Дону;ВАСИЛЕВИЧ Е.В. ИП;-;;ur9h-S9yd-As77-4fti;BPVd-qmzs-XB9d-HDk9
1666;Ростов-на-Дону;ВАСИЛЕВИЧ И Л ИП /супермаркет;РО г Константиновск ул Коммунистическая 85;;oZp1-IcXX-oEd9-k3xp;2u8g-AQ4B-B9VQ-3kAu
1667;Ростов-на-Дону;ВАСИЛЕВИЧ И.Л. ИП /супермаркет;РО г. Константиновск ул.Коммунистическая 85;;oZp1-IcXX-oEd9-k3xp;2u8g-AQ4B-B9VQ-3kAu
1668;Ростов-на-Дону;ВАСИЛЕВИЧ И.Л. ИП /супермаркет;РО,г. Константиновск ул.Коммунистическая 85;;oZp1-IcXX-oEd9-k3xp;2u8g-AQ4B-B9VQ-3kAu
1669;Ростов-на-Дону;ВАСИЛЕВИЧ И.Л. ИП /супермаркет;-;;oZp1-IcXX-oEd9-k3xp;2u8g-AQ4B-B9VQ-3kAu
1670;Ростов-на-Дону;ВАСИЛЕВИЧ И.П. /Бонус Супермаркет;-;;dov8-29kw-T0ft-C92X;QQaL-6DDR-wb9z-iB8p
1671;Ростов-на-Дону;ВАСИЛЕВИЧ О.И. ИП;-;;RPKU-sksA-ebyE-VXOX;sXGN-NUBf-1Kml-1rGq
1672;Ростов-на-Дону;ВАСИЛЕВИЧ С.Л. ИП;-;;eV3Z-SoWn-uAxw-4e35;R0Uq-nskG-pt8A-CGGV
1673;Ростов-на-Дону;ВАСИЛЕВИЧ С.Л. ИП;РО, г.Константиновск, ул. Топилина, 37;;eV3Z-SoWn-uAxw-4e35;R0Uq-nskG-pt8A-CGGV
1674;Ростов-на-Дону;ВАСИЛЕНКО А. Н. ИП;-;;tKpl-Znef-hGDx-CuI2;ZGgZ-APtG-otEO-o8Ox
1675;Ростов-на-Дону;ВАСИЛЕНКО ИП;-;;tfuw-KFrT-oak2-2x6v;EgDb-5hMi-gelU-tmQn
1676;Ростов-на-Дону;ВАСИЛЕНКО ИП;г Азов пос Ясный ул Чукотская 32;;tfuw-KFrT-oak2-2x6v;EgDb-5hMi-gelU-tmQn
1677;Ростов-на-Дону;ВАСИЛЕНКО ИП;г.Азов пос.Ясный ул Чукотская 32;;tfuw-KFrT-oak2-2x6v;EgDb-5hMi-gelU-tmQn
1678;Ростов-на-Дону;ВАСИЛЕНКО ИП;г.Азов, пос.Ясный, ул Чукотская, 32;;tfuw-KFrT-oak2-2x6v;EgDb-5hMi-gelU-tmQn
1679;Ростов-на-Дону;ВАСИЛЕНКО ИП /бонус;-;;tfuw-KFrT-oak2-2x6v;6b0r-WXtW-f6Wy-hzw6
1680;Ростов-на-Дону;ВАСИЛИЕВА В.А. ИП;-;;FxpH-6CGW-ypVV-TYal;otFZ-7i0a-heAU-r92H
1681;Ростов-на-Дону;ВАСИЛЬЕВ Г. Г. ИП \2, Симферополь\;-;;GVHe-tFbM-gyuE-TvYW;Upl8-BQYx-dgt8-PWGi
1682;Ростов-на-Дону;ВАСИЛЬЕВ Г Г ИП \3 Симферополь\;г Симферополь ул им Героев Сталинграда д 35 кв 50;;GVHe-tFbM-gyuE-TvYW;3MZU-LcHY-rCfP-Zbc5
1683;Ростов-на-Дону;ВАСИЛЬЕВ Г. Г. ИП \3, Симферополь\;-;;GVHe-tFbM-gyuE-TvYW;Upl8-BQYx-dgt8-PWGi
1684;Ростов-на-Дону;ВАСИЛЬЕВ Г. Г. ИП \3, Симферополь\;г.Симферополь, ул. им.Героев Сталинграда, д.35, кв.50;;GVHe-tFbM-gyuE-TvYW;Upl8-BQYx-dgt8-PWGi
1685;Ростов-на-Дону;ВАСИЛЬЕВ Г.Ю. ИП;г.Новороссийск ул.Хворостянского 1/13;;Kuie-MIkA-SUUG-5HM5;DO6E-GlCe-hOKL-qB1e
1686;Ростов-на-Дону;ВАСИЛЬЕВ Г.Ю. ИП;г.Новороссийск ул.Хворостянского 1/13;;Kuie-MIkA-SUUG-5HM5;DO6E-GlCe-hOKL-qB1e
1687;Ростов-на-Дону;ВАСИЛЬЕВА ИП\ ГЛОБУС \;-;;ggF6-lBG6-zqDn-2gDO;nwNp-g5Fx-lQuL-BwSp
1688;Ростов-на-Дону;ВАСИЛЬЧЕНКО Г.В. св.7658 СР;-;;UsrW-GgGn-MHig-cl18;SK9G-DY76-fGuM-xqZa
1689;Ростов-на-Дону;ВАСИЛЬЧЕНКО Е А ИП/маг Слобода;г Батайск ул М Горького 532(маг Слобода);;Y8I0-vuTH-TsMf-1aAs;aBOL-YgB6-v5Ey-tGSi
1690;Ростов-на-Дону;ВАСИЛЬЧЕНКО Е. А. ИП/маг. Слобода;-;;Y8I0-vuTH-TsMf-1aAs;zChp-A8SV-wrIw-k4mk
1691;Ростов-на-Дону;ВАСИЛЬЧЕНКО Е. А. ИП/маг. Слобода;г. Батайск ул. М. Горького 532(маг. Слобода);;Y8I0-vuTH-TsMf-1aAs;zChp-A8SV-wrIw-k4mk
1692;Ростов-на-Дону;ВАСИЛЬЧЕНКО Е. А. ИП/маг. Слобода;г. Батайск, ул. М. Горького, 532(маг. Слобода);;Y8I0-vuTH-TsMf-1aAs;zChp-A8SV-wrIw-k4mk
1693;Ростов-на-Дону;ВАСИЛЬЧЕНКО Е. А. ИП/маг. Слобода \ бонус;-;;Y8I0-vuTH-TsMf-1aAs;MPyY-IFvR-fNFb-8ReG
1694;Ростов-на-Дону;ВАТАТОМИ ООО/Карла Маркса;-;;0hbU-WfUS-Exbw-PaOH;U3YC-YMIH-DBIg-Vkoo
1695;Ростов-на-Дону;ВАТАТОМИ ООО/Чернокозова;г.Шахты ул.Чернокозова 140;;0hbU-WfUS-Exbw-PaOH;kUeO-XGgQ-pVp8-ELw5
